name,id,subject,keywords,API_type,MD_standards
HyMeX,ISSN 2491-1887,"3 Natural Sciences#313 Atmospheric Science and Oceanography#31302 Oceanography#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#34 Geosciences (including Geography)","aircraft#atmosphere#atmosphere-land-ocean coupled system#drifters, buoys#hydrology#hydrometerology#mediterranean#oceanography#temperature#water cycle",FTP#NetCDF,CF (Climate and Forecast) Metadata Conventions
Coronavirus Antiviral Research Database,biodbcore-001420,"2 Life Sciences#204 Microbiology, Virology and Immunology#20403 Medical Microbiology, Molecular Infection Biology#20404 Virology#20405 Immunology#21 Biology#22 Medicine",COVID-19#additional host-targeting compounds#cell culture#clinical trials#entry inhibitors#interferons#polymerase inhibitors#protease inhibitors#virology,,Repository-Developed Metadata Schemas
Copernicus' Heliograph,DOI:10.17171/2-7,1 Humanities and Social Sciences#101 Ancient Cultures#102 History#10204 History of Science#11 Humanities,Astronomic heliograph#Copernicus#Olsztyn,,DataCite Metadata Schema
NCBI Protein Clusters,RRID:SCR_003459#RRID:nif-0000-03354,"2 Life Sciences#201 Basic Biological and Medical Research#20104 Structural Biology#20105 General Genetics#202 Plant Sciences#20207 Plant Genetics#203 Zoology#20306 Animal Genetics, Cell and Developmental Biology#204 Microbiology, Virology and Immunology#21 Biology#22 Medicine",DNA#bioinformatics#chloroplasts#genomics#nucleotide sequence#phylogeny#plasmids,FTP,
ExPASy Bioinformatics Resource Portal,RRID:SCR_012880#RRID:nif-0000-30108,2 Life Sciences#201 Basic Biological and Medical Research#205 Medicine#20503 Human Genetics#20532 Biomedical Technology and Medical Physics#21 Biology#22 Medicine,amino acids#biology#biomedical engineering#biotechnology#electrophoresis#gene expression#gene mapping#genes#genetics#genomes#genomics#isoelectric focusing#molecular biology#pathology#peptides#physiology#protein binding#proteins#proteomics#science,FTP,
ARP Research Data Repository,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,REST#SWORD,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core#OAI-ORE - Open Archives Initiative Object Reuse and Exchange
Image Data Resource,FAIRsharing_doi:10.25504/FAIRsharing.6wf1zw#OMICS_13850#RRID:SCR_017421,2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#20105 General Genetics#205 Medicine#21 Biology#22 Medicine,bioimage#digital pathology#gene networks#high-content screening#multi-dimensional microscopy,other,
Permafrost Information Network,,"3 Natural Sciences#315 Geophysics and Geodesy#31501 Geophysics#316 Geochemistry, Mineralogy and Crystallography#31601 Geochemistry, Mineralogy and Crystallography#317 Geography#31701 Physical Geography#318 Water Research#34 Geosciences (including Geography)",borehole#geotechnical#ground thermal#stratigraphic,,
OpenStreetMap,,3 Natural Sciences#317 Geography#34 Geosciences (including Geography),crowdsourcing#geodata#topography#vector#vgi,REST,
AmericasBarometer,,1 Humanities and Social Sciences#111 Social Sciences#11102 Empirical Social Research#11104 Political Science#112 Economics#113 Jurisprudence#12 Social and Behavioural Sciences,Political science#census data#democracy#governance#political geography#public opinion polls,,
Cancer Genome Anatomy Project,RRID:SCR_003072#RRID:nif-0000-30468,"2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#203 Zoology#20306 Animal Genetics, Cell and Developmental Biology#205 Medicine#20503 Human Genetics#21 Biology#22 Medicine",RNAI#Tumor Gene Index#chromosomes#cytogenetics#expressed sequence tags (ESTs)#gene expression patterns#genes#genomics#pathway#single nucleotide polymorphisms (SNPs),,
NCBI SARS-CoV,,"2 Life Sciences#204 Microbiology, Virology and Immunology#21 Biology#22 Medicine",COVID-19#RNA#SARS#genomics#nucleotides#sequences,,
Scholar@UC,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,,Repository-Developed Metadata Schemas
Mousebytes,RRID:SCR_017904#RRID:SCR_021598,"2 Life Sciences#206 Neurosciences#20604 Systemic Neuroscience, Computational Neuroscience, Behaviour#20606 Cognitive Neuroscience and Neuroimaging#22 Medicine",FAIR#cognitive data collection#mouse cognition#mouse genomic#touchscreen data#touchscreen related tasks,,
Biosamples,FAIRsharing_doi:10.25504/FAIRsharing.ewjdq6#MIR:00100447#OMICS_01025#RRID:SCR_004856#RRID:nlx_143930,2 Life Sciences#201 Basic Biological and Medical Research#21 Biology,biological sample annotation#cell line#gene expression#genomics#nucleotide#peptide#protein#proteomics#sequencing,REST,
Atmospheric Chemistry Experiment,,"3 Natural Sciences#303 Physical and Theoretical Chemistry#30301 Physical Chemistry of Molecules, Interfaces and Liquids - Spectroscopy, Kinetics#31 Chemistry#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#34 Geosciences (including Geography)",Arctic#FTS Fourier Transform Spectrometer#MAESTRO#aerospace#atmosphere#chemical molecules#earth's climate#remote sensing#space mission#stratospheric chemistry,NetCDF,
Wolfenbütteler Digital Library,,1 Humanities and Social Sciences#101 Ancient Cultures#105 Literary Studies#11 Humanities,digital editions#imprints#incunabula#manuscripts,OAI-PMH,
WHOI Ship Data-Grabber System,FAIRsharing_doi:10.25504/FAIRsharing.134085,3 Natural Sciences#313 Atmospheric Science and Oceanography#318 Water Research#34 Geosciences (including Geography),coral#gulf stream#hydrothermal fluids#molecular and morphological studies#oceanic crust#oceanography#seafloor#surface water properties,FTP,
The Lafora Progressive Myoclonus Epilepsy Mutation and Polymorphism Database,,2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#205 Medicine#20503 Human Genetics#21 Biology#22 Medicine,Progressive Myoclonus Epilepsy - PME#disease#genetics#heterozygous#homozygous#human genes#nucleotide#polymorphism,,
Sciflection,FAIRsharing_doi:10.25504/FAIRsharing.NKUobC,3 Natural Sciences#31 Chemistry,FAIR#experimental parameters#molecular structures#spectroscopic data,,
Immuno Polymorphism Database,FAIRsharing_doi:10.25504/FAIRsharing.c3v6e6#OMICS_03057#RRID:SCR_003004#RRID:nif-0000-03038,"2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#20107 Bioinformatics and Theoretical Biology#204 Microbiology, Virology and Immunology#205 Medicine#20514 Hematology, Oncology, Transfusion Medicine#21 Biology#22 Medicine",Bioinformatics#Chromosome polymorphism#Genetic code - Research#Genetic recombination#Genetics#Immune system#Molecular biology,FTP,
Digital Library for Earth System Education,,"2 Life Sciences#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#21 Biology#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#3 Natural Sciences#31 Chemistry#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#31302 Oceanography#314 Geology and Palaeontology#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#316 Geochemistry, Mineralogy and Crystallography#31601 Geochemistry, Mineralogy and Crystallography#317 Geography#31701 Physical Geography#31702 Human Geography#32 Physics#34 Geosciences (including Geography)",ecosystems#educational resources#gravity#plate tectonics#solar system#weater and climate,OAI-PMH#REST,Repository-Developed Metadata Schemas
BioSimulators,FAIRsharing_DOI:10.25504/FAIRsharing.pwEima,2 Life Sciences#201 Basic Biological and Medical Research#20107 Bioinformatics and Theoretical Biology#21 Biology,COMBINE#Docker#OMEX#SED-Ml#container#image#modeling#simulation#systems biology,REST,
UniMES,OMICS_03881,2 Life Sciences#201 Basic Biological and Medical Research#20101 Biochemistry#20107 Bioinformatics and Theoretical Biology#21 Biology,database#evolution#protein sequences#proteomics,,
Pfam Protein Families,FAIRsharing_doi:10.25504/FAIRsharing.y3scf6#OMICS_01696#RRID:SCR_004726,2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#21 Biology,clans#protein#protein families#protein sequence#proteomes,FTP#REST,
AMODS,,"3 Natural Sciences#303 Physical and Theoretical Chemistry#30301 Physical Chemistry of Molecules, Interfaces and Liquids - Spectroscopy, Kinetics#308 Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas#31 Chemistry#32 Physics",atmoic structures#atomic energy#atomic spectroscopy#radiative transition,,
Solar Dynamics Observatory,,3 Natural Sciences#311 Astrophysics and Astronomy#32 Physics,data libraries#digital images#helioseismology#humanities#life sciences#physical sciences#solar activity#space environment#space sciences,FTP#REST#SOAP#other,FITS - Flexible Image Transport System
SIP-Archiv,,3 Natural Sciences#315 Geophysics and Geodesy#31501 Geophysics#34 Geosciences (including Geography),SIP#Spectral Induced Polarization#complex electrical rock properties#geoelectrics#geophysics#measurements#petrophysics,,
International Geodynamics and Earth Tide Service,,3 Natural Sciences#315 Geophysics and Geodesy#34 Geosciences (including Geography),earth tides#geodesy#geodynamics#geophysics#gravimetry#gravitmetry#hydrology,,DIF - Directory Interchange Format#DataCite Metadata Schema#ISO 19115
GRIN-CA Taxonomy,,"2 Life Sciences#202 Plant Sciences#20202 Plant Ecology and Ecosystem Analysis#20207 Plant Genetics#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#20704 Ecology of Agricultural Landscapes#20709 Inventory Control and Use of Forest Resources#20710 Basic Forest Research#21 Biology#23 Agriculture, Forestry, Horticulture and Veterinary Medicine",biodiversity#genebank#genetic diversity#germplasm#rejuvenation#seed storage,,
Vivli,FAIRsharing_doi:10.25504/FAIRsharing.uovQrT#OMICS_18399#RRID:SCR_018080,"2 Life Sciences#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#22 Medicine",clinical trial#clinical trials#data discovery methods#health care#individual participant-level data (IPD)#medical treatments#patients#studies,,
EuPathDB,FAIRsharing_doi:10.25504/FAIRsharing.f94905#OMICS_03154#RRID:SCR_004512#RRID:nlx_49652,"2 Life Sciences#201 Basic Biological and Medical Research#20107 Bioinformatics and Theoretical Biology#203 Zoology#20302 Evolution, Anthropology#21 Biology",FAIR#genomics#infectious disease#parasitology#phylogenetics#population biology#proteomics#spectrometry,REST,Repository-Developed Metadata Schemas
J. Craig Venter Institute,RRID:SCR_011269#RRID:nlx_42542,2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#20107 Bioinformatics and Theoretical Biology#202 Plant Sciences#20207 Plant Genetics#21 Biology,bioinformatics#biological energy#human genomic medicine#human health#infectious disease#microbial and environment genomics#plant#software engineering#synthetic biology,,
Paris Astronomical Data Centre,,"3 Natural Sciences#308 Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas#311 Astrophysics and Astronomy#32 Physics",astronomy#astrophysics#atomic and molecular physics#heliophysics#planets#solar system,OAI-PMH#other#other#other#other#other#other,AVM - Astronomy Visualization Metadata#FITS - Flexible Image Transport System#International Virtual Observatory Alliance Technical Specifications#SPASE Data Model
China Meteorological Data Service Center,,"3 Natural Sciences#313 Atmospheric Science and Oceanography#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#34 Geosciences (including Geography)",assimilation#fusion#radar#satellite#surface#upper air,,
Historic Environment Scotland,,"1 Humanities and Social Sciences#101 Ancient Cultures#10101 Prehistory#102 History#11 Humanities#4 Engineering Sciences#410 Construction Engineering and Architecture#41001 Architecture, Building and Construction History, Sustainable Building Technology, Building Design#45 Construction Engineering and Architecture",ancient monuments#archaeology#architecture#culture#heritage#historic environment#historical monuments#history#non-departmental public body#scottish natural heritage,,MIDAS-Heritage
e-cienciaDatos,FAIRsharing_DOI:10.25504/FAIRsharing.lone3g,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,OAI-PMH#SWORD,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core
British Oceanographic Data Centre,FAIRsharing_doi:10.25504/FAIRsharing.tj9xv0,3 Natural Sciences#313 Atmospheric Science and Oceanography#31302 Oceanography#34 Geosciences (including Geography),JGOFS#Joint Global Ocean Flux Study#World Ocean Circulation Experiment (WOCE)#acoustics#argo floats#bathymetry#currents#meteorology#optical properties#sea level#tide#topography#water column#waves,NetCDF,DIF - Directory Interchange Format#Dublin Core#FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata
Scholarly Database at Indiana University,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,bibliometrics#geolocation#information modeling#information science#large-scale data#multidisciplinary,,
GESDB,FAIRsharing_doi:10.25504/FAIRsharing.rbba3x#OMICS_11980,"2 Life Sciences#205 Medicine#20501 Epidemiology, Medical Biometry, Medical Informatics#20503 Human Genetics#22 Medicine",genetic epidemiology#genetic study#simulation#statistical genetics,FTP,
Canadian Ice Service Archive,,3 Natural Sciences#313 Atmospheric Science and Oceanography#318 Water Research#34 Geosciences (including Geography),cryosphere#geosciences#ice atlas#ice climatology#ice graph#iceberg#oil pollution monitoring,,
"Canadian Epigenetics, Environment and Health Research Consortium Network",RRID:SCR_017491,"2 Life Sciences#201 Basic Biological and Medical Research#20107 Bioinformatics and Theoretical Biology#204 Microbiology, Virology and Immunology#20405 Immunology#21 Biology#22 Medicine",DNA#blood#cancer#epigenomes#human mammary#leukaemia#miRNA,,
Barcode of Life Data Systems,FAIRsharing_doi:10.25504/FAIRsharing.en9npn#OMICS_17578#RRID:SCR_004278#RRID:nlx_29236,"2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#20107 Bioinformatics and Theoretical Biology#202 Plant Sciences#20207 Plant Genetics#203 Zoology#20306 Animal Genetics, Cell and Developmental Biology#21 Biology#22 Medicine",BIN#Barcode Index Number#COI#DNA#bacteria#barcoding#bioinformatics#biology#fungi#gene sequence#microorganisms#molecular biology#plants#species identification#taxonomists#taxonomy,REST#REST#REST,
